Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.,Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.
Payout request status has been updated successfully.,Payout request status has been updated successfully.
Invalid Request.,Invalid Request.
Seller Wise Commissions,Seller Wise Commissions
Seller Dashboard,Seller Dashboard
Your request has been sent. Please wait for store response.,Your request has been sent. Please wait for store response.
Cannot send request,Cannot send request
Product Import/Export,Product Import/Export
Seller Profile,Seller Profile
Seller Profile saved successfully.,Seller Profile saved successfully.
Not Available,Not Available
Your payout request has been submitted successfully.,Your payout request has been submitted successfully.
Please configure payout method in the seller profile menu.,Please configure payout method in the seller profile menu.
Seller's Account - Payout Requests,Seller's Account - Payout Requests
Error Occured,Error Occured
Thank you for rating the Seller.,Thank you for rating the Seller.
Posting review for this seller is not allowed.,Posting review for this seller is not allowed.
Seller Account - My Reviews,Seller Account - My Reviews
"You can't register yourself as seller because your registration request limit has been over. To register, please contact to support.","You can't register yourself as seller because your registration request limit has been over. To register, please contact to support."
Seller's Account - Earnings,Seller's Account - Earnings
Seller's Account - Transactions History,Seller's Account - Transactions History
File Path is Missing,File Path is Missing
Unknown file,Unknown file
General worksheet is missing.,General worksheet is missing.
Column title row is missing from general worksheet.,Column title row is missing from general worksheet.
Column '%s' is missing from general worksheet.,Column '%s' is missing from general worksheet.
File is empty.,File is empty.
Error in processing '%s' sku before deleting.,Error in processing '%s' sku before deleting.
Listed products are not deleted:,Listed products are not deleted:
"Upload your file and try again. To speed up delete process, please remove all products that has been deleted.","Upload your file and try again. To speed up delete process, please remove all products that has been deleted."
Your products has been deleted. System will redirect you on product list automatically in 5 secs.,Your products has been deleted. System will redirect you on product list automatically in 5 secs.
Import action is Missing,Import action is Missing
Meta Information worksheet is missing,Meta Information worksheet is missing
File must not exceed ,File must not exceed 
This sku does not exist,This sku does not exist
Product of this SKU is not yours.,Product of this SKU is not yours.
This row has error,This row has error
Meta Information Sheet is Missing,Meta Information Sheet is Missing
Error in processing data of '%s' sku.,Error in processing data of '%s' sku.
Listed products are not saved:,Listed products are not saved:
"Upload your file and try again. To speed up process, please remove all other product data that has been saved successfully.","Upload your file and try again. To speed up process, please remove all other product data that has been saved successfully."
Your products has been uploaded. System will redirect you on product list automatically in 5 secs.,Your products has been uploaded. System will redirect you on product list automatically in 5 secs.
Error while processing rows in uploaded file.,Error while processing rows in uploaded file.
Error: %s,Error: %s
Product Type is missing from Meta Sheet Worksheet,Product Type is missing from Meta Sheet Worksheet
Product Type is invalid in Meta Sheet Worksheet,Product Type is invalid in Meta Sheet Worksheet
Attribute set id is missing from Meta Sheet Worksheet,Attribute set id is missing from Meta Sheet Worksheet
Attribute set id is not valid in Meta Sheet Worksheet,Attribute set id is not valid in Meta Sheet Worksheet
This SKU is already used by other product of you or other seller.,This SKU is already used by other product of you or other seller.
This SKU is used by other seller or store.,This SKU is used by other seller or store.
This value is required,This value is required
Invalid Value. Only date format value is accepted.,Invalid Value. Only date format value is accepted.
Invalid Value. Only Price type value accepted,Invalid Value. Only Price type value accepted
Invalid Value. Only positive number type value accepted,Invalid Value. Only positive number type value accepted
Out of range value. Please see possible value for this field.,Out of range value. Please see possible value for this field.
Some of the values are not exist.,Some of the values are not exist.
Your request has been sent to the admin for approval.,Your request has been sent to the admin for approval.
Seller's Account - Request a New Category,Seller's Account - Request a New Category
Attribute set is missing,Attribute set is missing
Attribute set cannot load,Attribute set cannot load
1. This worksheet is required and must be included in your import file,1. This worksheet is required and must be included in your import file
2. Do not change worksheet name as well as its content.,2. Do not change worksheet name as well as its content.
3. Any change in this worksheet format will not allow system to import your data into system.,3. Any change in this worksheet format will not allow system to import your data into system.
4. We recommend you to copy this worksheet in your import file with same worksheet name.,4. We recommend you to copy this worksheet in your import file with same worksheet name.
1. This worksheet contains possible values of some field.,1. This worksheet contains possible values of some field.
2. Please fill the related fields only from these possible values.,2. Please fill the related fields only from these possible values.
3. If possible values for any field are not given then you can fill it with any text value.,3. If possible values for any field are not given then you can fill it with any text value.
Seller's Products,Seller's Products
The product has been saved.,The product has been saved.
This window will be closed automatically within %s secs.,This window will be closed automatically within %s secs.
Product has been saved successfully.,Product has been saved successfully.
The product has been duplicated successfully.,The product has been duplicated successfully.
Product has been created successfully.,Product has been created successfully.
Please wait for admin approval.,Please wait for admin approval.
"Adding of new product limit has been over as your account is not approved or waiting for approval. To add more products, your account needs to be approved.","Adding of new product limit has been over as your account is not approved or waiting for approval. To add more products, your account needs to be approved."
You duplicated the product.,You duplicated the product.
Seller's Product,Seller's Product
This SKU already exist.,This SKU already exist.
Cancel Vacation,Cancel Vacation
Add New Vacation,Add New Vacation
Vacation Halted,Vacation Halted
Created Date,Created Date
This vacation is already canceled,This vacation is already canceled
Visibility,Visibility
click to edit product,click to edit product
click to update quantity,click to update quantity
Update Quantity,Update Quantity
Order No.,Order No.
From Date,From Date
To Date,To Date
click to print order,click to print order
Shipping & Handling,Shipping & Handling
Discount (%1),Discount (%1)
Discount,Discount
Grand Total,Grand Total
Grand Total to be Charged,Grand Total to be Charged
Custom Value,Custom Value
Order # %1,Order # %1
Comment History,Comment History
Shipment History,Shipment History
Credit Memo History,Credit Memo History
Subtotal (Excl.Tax),Subtotal (Excl.Tax)
Subtotal (Incl.Tax),Subtotal (Incl.Tax)
Shipping & Handling (Excl.Tax),Shipping & Handling (Excl.Tax)
Shipping & Handling (Incl.Tax),Shipping & Handling (Incl.Tax)
Grand Total (Excl.Tax),Grand Total (Excl.Tax)
Grand Total (Incl.Tax),Grand Total (Incl.Tax)
Email,Email
Shipping Charges,Shipping Charges
Track this shipment,Track this shipment
Track Order,Track Order
Shipping Method,Shipping Method
Shipping not Required,Shipping not Required
Payment Method,Payment Method
Grand Total (Excl. Shipping),Grand Total (Excl. Shipping)
Discount (%s),Discount (%s)
Total Refunded,Total Refunded
Total Due,Total Due
Shipping & Handling (Excl. Tax),Shipping & Handling (Excl. Tax)
Shipping & Handling (Incl. Tax),Shipping & Handling (Incl. Tax)
Print Order # %1,Print Order # %1
Minimum %d character requried,Minimum %d character requried
Save Template,Save Template
Show Report,Show Report
Manage Seller Account,Manage Seller Account
Add Subcategory,Add Subcategory
Add Root Category,Add Root Category
Save Settings,Save Settings
Seller Payout Request,Seller Payout Request
ID,ID
Transation Date,Transation Date
Telephone,Telephone
Commission (in %),Commission (in %)
Your Earnings,Your Earnings
Category wise Commissions,Category wise Commissions
Total Commission,Total Commission
Transaction History,Transaction History
Seller wise Commissions,Seller wise Commissions
Seller Earning,Seller Earning
Amount Transfer,Amount Transfer
Transaction Action,Transaction Action
Sellers Payout (,Sellers Payout (
Seller Order List,Seller Order List
Purchased From (Store),Purchased From (Store)
Purchased On,Purchased On
Actions,Actions
Template Description,Template Description
Template Type,Template Type
Date Added,Date Added
Date Updated,Date Updated
Seller Best Selling Product List,Seller Best Selling Product List
Interval,Interval
Order Quantity,Order Quantity
Product Price,Product Price
Seller Account Approval Request List,Seller Account Approval Request List
Approved Status,Approved Status
Added Date,Added Date
Approve,Approve
Account Status,Account Status
Seller Status,Seller Status
Seller Since,Seller Since
Posted On,Posted On
Request Date,Request Date
Vacation Active,Vacation Active
Seller Review Approval List,Seller Review Approval List
Seller Approval List,Seller Approval List
Seller Product Reviews,Seller Product Reviews
Created On,Created On
Nickname,Nickname
Visible In,Visible In
Type,Type
Product SKU,Product SKU
Edit,Edit
Seller Category Request List,Seller Category Request List
Seller Email,Seller Email
View,View
Disapprove,Disapprove
Make New,Make New
Edit Template,Edit Template
Products,Products
Administrator,Administrator
Guest,Guest
Seller Bulkimport Feature List,Seller Bulkimport Feature List
Last Update,Last Update
Feature Status,Feature Status
Seller Bulkimport Feature Request List,Seller Bulkimport Feature Request List
Seller Comment,Seller Comment
Your Comment,Your Comment
Request Status,Request Status
Activate Feature,Activate Feature
Read More,Read More
click to view review,click to view review
Posted on: %s by %s,Posted on: %s by %s
Home,Home
Home Page,Home Page
click to view product,click to view product
Your seller account is currently under process and not yet approved. You only have a limited access to the seller account currently.,Your seller account is currently under process and not yet approved. You only have a limited access to the seller account currently.
Your seller account has been disapproved. You only have a limited access to the seller account currently. To send request again ,Your seller account has been disapproved. You only have a limited access to the seller account currently. To send request again 
Click Here,Click Here
Product Catalog,Product Catalog
Product Feedback,Product Feedback
Earnings,Earnings
Transactions,Transactions
New Category Request,New Category Request
My Vacations,My Vacations
Requested Date,Requested Date
Request On,Request On
Date,Date
Transaction Date,Transaction Date
Amount of %s debited from your earning on %s,Amount of %s debited from your earning on %s
Amount of %s credited into your account on %s,Amount of %s credited into your account on %s
Report Format,Report Format
Your file is valid. Please click 'Delete Products' button to delete your products,Your file is valid. Please click 'Delete Products' button to delete your products
Your file is valid. Please click 'Import Products' button to upload your products,Your file is valid. Please click 'Import Products' button to upload your products
Delete Products,Delete Products
"Adding of new product limit has been over as your account is not approved or waiting for approval. To add more products, your account need to be approved.","Adding of new product limit has been over as your account is not approved or waiting for approval. To add more products, your account need to be approved."
Use Default Value,Use Default Value
Seller Account,Seller Account
General Settings,General Settings
Seller List,Seller List
Seller Account Approval Request,Seller Account Approval Request
Seller Product List,Seller Product List
Product Approval Request,Product Approval Request
Product Reviews,Product Reviews
Seller Reviews,Seller Reviews
Seller Review Approval Request,Seller Review Approval Request
Category Request List,Category Request List
Seller Vacation List,Seller Vacation List
Reports - Best Selling Products,Reports - Best Selling Products
Email Templates,Email Templates
CRON Instructions,CRON Instructions
Bulk Import/Export,Bulk Import/Export
Seller With Feature,Seller With Feature
Feature Activation Request,Feature Activation Request
Transactions and Earnings,Transactions and Earnings
Commissions,Commissions
Category Wise Commissions,Category Wise Commissions
Seller Wise Commissions,Seller Wise Commissions
Sellers Payout List,Sellers Payout List
Sellers Payout Request,Sellers Payout Request
PayPal Payout Settings,PayPal Payout Settings
Best Selling Products,Best Selling Products
Seller with Import/Export Feature,Seller with Import/Export Feature
Import/Export Feature Activation Request List,Import/Export Feature Activation Request List
Category Wise Commission,Category Wise Commission
Category Request List,Category Request List
Edit Email Template,Edit Email Template
Email Templates,Email Templates
Seller Order List,Seller Order List
PayPal Payout Settings,PayPal Payout Settings
Product Approval Request,Product Approval Request
All Seller's Products - Reviews,All Seller's Products - Reviews
Seller Account Approval Request,Seller Account Approval Request
Seller Wise Commission,Seller Wise Commission
Seller List,Seller List
Seller Product List,Seller Product List
Seller Review Approval Request,Seller Review Approval Request
All Seller's Reviews,All Seller's Reviews
Seller Vacation List,Seller Vacation List
Commissions,Commissions
Sellers Payout,Sellers Payout
Sellers Payout Request,Sellers Payout Request
View Sellers,View Sellers
Start date or end date can not be same,Start date or end date can not be same
