If enable an email will be sent to seller on order for his product.,If enable an email will be sent to seller on order for his product.
Enable Vacation Mode,Enable Vacation Mode
"If disable, no seller will be able to use vacation feature.","If disable, no seller will be able to use vacation feature."
Show Seller Info on Product Page,Show Seller Info on Product Page
Enable/Disable to show/hide seller info on product page.,Enable/Disable to show/hide seller info on product page.
Enable or Disable Approval of product for the sellers.,Enable or Disable Approval of product for the sellers.
Default limit for sellers of adding new products before account approval. Blank will be considered as 0.,Default limit for sellers of adding new products before account approval. Blank will be considered as 0.
Enable or Disable Seller review feature. This feature enables the customers to add review for sellers.,Enable or Disable Seller review feature. This feature enables the customers to add review for sellers.
Seller Review Approval Required,Seller Review Approval Required
Enable or Disable Approval for seller review. Once the review is approved then only it will be visible to the customers.,Enable or Disable Approval for seller review. Once the review is approved then only it will be visible to the customers.
Enable Seller List,Enable Seller List
Show or Hide Sellers List from customers.,Show or Hide Sellers List from customers.
Enable Search Box,Enable Search Box
Enable or Disbale search box to search seller on seller listing page.,Enable or Disbale search box to search seller on seller listing page.
Low Stock Configuration,Low Stock Configuration
Enable Low Stock Notification,Enable Low Stock Notification
Enable or Disable Low Stock Notification feature.,Enable or Disable Low Stock Notification feature.
Low Inventory Limit,Low Inventory Limit
Enter the limit below that the products are considered low stock.,Enter the limit below that the products are considered low stock.
When to Notify,When to Notify
Choose when to notify the seller regarding the critical inventories.,Choose when to notify the seller regarding the critical inventories.
Cron Job,Cron Job
On Order Place,On Order Place
Send Notifications From,Send Notifications From
Choose the email from which you want to send the notifications.,Choose the email from which you want to send the notifications.
Seller Name,Seller Name
Select,Select
Transaction ID,Transaction ID
Transaction Type,Transaction Type
Amount,Amount
Send Email to Seller,Send Email to Seller
"Invalid Value, please enter a number greater then zero","Invalid Value, please enter a number greater then zero"
Add New Transaction,Add New Transaction
Posted On: ,Posted On: 
Customer Rating: ,Customer Rating: 
Review: ,Review: 
Reason for Disapproval: ,Reason for Disapproval: 
Seller Review Detail,Seller Review Detail
Provide Your Reason,Provide Your Reason
We can\'t find products matching the selection.,We can\'t find products matching the selection.
View Details,View Details
In stock,In stock
Out of stock,Out of stock
Learn More,Learn More
My Sales Dashboard,My Sales Dashboard
Total Revenue,Total Revenue
Total Orders,Total Orders
Total Products Sold,Total Products Sold
Last 7 Days,Last 7 Days
Sales Comparisons,Sales Comparisons
Orders,Orders
Revenue,Revenue
Products Sold,Products Sold
Discounts,Discounts
Balance Amount Variations,Balance Amount Variations
Today,Today
Yesterday,Yesterday
This Week,This Week
Last Week,Last Week
This Month,This Month
Last Month,Last Month
This Year,This Year
Last Year,Last Year
Last 10 Orders,Last 10 Orders
View All Orders,View All Orders
Order Number,Order Number
Order Date,Order Date
Customer Name,Customer Name
Customer Email,Customer Email
Qty,Qty
Status,Status
Order Total,Order Total
click to view order,click to view order
No Orders Placed Yet,No Orders Placed Yet
Seller Products,Seller Products
Filter Products,Filter Products
Category,Category
Sort By,Sort By
Name,Name
SKU,SKU
Price(low to high),Price(low to high)
Price(high to low),Price(high to low)
Products Feedback,Products Feedback
Filter Your Search,Filter Your Search
Search,Search
Reset,Reset
No Data,No Data
Posted on,Posted on
by,by
Rating,Rating
Summary,Summary
Review,Review
My Products Catalog,My Products Catalog
New Product,New Product
Choose,Choose
Please select atleast one item from list.,Please select atleast one item from list.
Select Attribute Set for New Product,Select Attribute Set for New Product
Attribute Set,Attribute Set
Product Type,Product Type
Choose Bulk Action,Choose Bulk Action
Delete,Delete
Status Update,Status Update
Close,Close
Save,Save
Save & Continue,Save & Continue
Duplicate,Duplicate
Cancel,Cancel
%d characters remaining.,%d characters remaining.
Please fill required fields with valid information.,Please fill required fields with valid information.
Special price should be less than actual price,Special price should be less than actual price
Past date not allowed,Past date not allowed
Quick simple product creation,Quick simple product creation
Create,Create
Prices,Prices
Meta Information,Meta Information
General Information,General Information
Allows your product's visibility on search or catalog page.,Allows your product's visibility on search or catalog page.
Maximum %d characters allowed.,Maximum %d characters allowed.
Date of product from which this product will be marked as new.,Date of product from which this product will be marked as new.
Date of product until which this product will be marked as new.,Date of product until which this product will be marked as new.
Category Mapping,Category Mapping
Associated Products,Associated Products
Create Simple Product,Create Simple Product
Quick Create,Quick Create
Id,Id
Sku,Sku
Product Name,Product Name
Stock Status,Stock Status
Select Attribute,Select Attribute
Attribute,Attribute
Price,Price
Default Qty,Default Qty
Samples,Samples
Title,Title
File,File
Sort Order,Sort Order
Add New Row,Add New Row
Links,Links
Links can be purchased separately,Links can be purchased separately
Max. Downloads,Max. Downloads
Shareable,Shareable
Sample,Sample
Unlimited,Unlimited
Url,Url
Inventory,Inventory
Quantity,Quantity
Manage Stock,Manage Stock
"On enabling, stock will be managed automatically. For manual stock, select disable","On enabling, stock will be managed automatically. For manual stock, select disable"
Qty Uses Decimal,Qty Uses Decimal
Stock Availability,Stock Availability
Shipment,Shipment
Ship Bundle Items,Ship Bundle Items
Separately,Separately
Together,Together
Bundle Items Options,Bundle Items Options
Add New Option,Add New Option
Default Title,Default Title
Delete Option,Delete Option
Input Type,Input Type
Is Required,Is Required
Position,Position
Add Selection,Add Selection
Price Type,Price Type
User Defined Qty,User Defined Qty
Default,Default
Qty to Add,Qty to Add
Add Selected Product(s) to Option,Add Selected Product(s) to Option
Images,Images
Image,Image
Label,Label
Remove,Remove
File is not supported,File is not supported
Upload New Image,Upload New Image
